"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"DetectedinPacificDolphin";"SpectrumFilename";"Identification";"Comment";"FragmentIdentification";"Formula";"RetentionTime1D";"RetentionTime2D";"TypicallyMonitored";"Instrument"
1018;23;"DDT";"DDT 2";"DDT";"DDT 500PPM";FALSE;23;"Authentic MS";"";"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";1453.51;1.241;FALSE;"GCxGC-TOF, EI, 70 eV"
1047;23;"DDT";"p,p'-DDT";"DDT";"DDT 500PPM";TRUE;23;"Authentic MS RT";"";"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";1471;1.34;TRUE;"GCxGC-TOF, EI, 70 eV"
1264;24;"TCPM";"TCPM 1";"TCPM";"DDT 500PPM";FALSE;24;"Authentic MS";"";"275 [M-HCl2]+; 311 [M-Cl]+; 346 M+ ";"C19H13Cl3";1540.96;1.426;FALSE;"GCxGC-TOF, EI, 70 eV"
1320;24;"TCPM";"TCPM 2";"TCPM";"DDT 500PPM";FALSE;24;"Authentic MS";"";"275 [M-HCl2]+; 311 [M-Cl]+; 346 M+ ";"C19H13Cl3";1579.44;1.472;FALSE;"GCxGC-TOF, EI, 70 eV"
1260;25;"unknown 9";"unknown 9-1";"other";"DDT 500PPM";FALSE;25;NA;NA;NA;NA;1537.46;1.36;FALSE;"GCxGC-TOF, EI, 70 eV"
1271;25;"unknown 9";"unknown 9-2";"other";"DDT 500PPM";FALSE;25;NA;NA;NA;NA;1547.96;1.393;FALSE;"GCxGC-TOF, EI, 70 eV"
1305;25;"unknown 9";"unknown 9-3";"other";"DDT 500PPM";FALSE;25;NA;NA;NA;NA;1568.95;1.406;FALSE;"GCxGC-TOF, EI, 70 eV"
1353;26;"unknown 10";"unknown 10-1";"other";"DDT 500PPM";FALSE;26;NA;NA;NA;NA;1600.43;1.683;FALSE;"GCxGC-TOF, EI, 70 eV"
1385;26;"unknown 10";"unknown 10-2";"other";"DDT 500PPM";FALSE;26;NA;NA;NA;NA;1614.42;1.657;FALSE;"GCxGC-TOF, EI, 70 eV"
1415;26;"unknown 10";"unknown 10-3";"other";"DDT 500PPM";FALSE;26;NA;NA;NA;NA;1635.41;1.927;FALSE;"GCxGC-TOF, EI, 70 eV"
